WeeklySalesDate,ParentPlantName,ParentCustomerId,Predicted_Sales
2025-01-05,Plant_0,9986,-927.2781
2025-01-05,Plant_0,5264,116.13
2025-01-05,Plant_1,4137,15.71530000000003
2025-01-05,Plant_0,9886,-266.26899999999966
2025-01-05,Plant_0,10343,-4.48
2025-01-05,Plant_0,9130,-4.48
2025-01-05,Plant_1,4463,-790.3151000000001
2025-01-05,Plant_1,8156,114.759
2025-01-05,Plant_0,10477,-4.48
2025-01-05,Plant_0,9886,-789.2555
2025-01-05,Plant_1,5713,-347.30179999999996
2025-01-05,Plant_1,4137,-23.904700000000002
2025-01-05,Plant_1,2788,-600.9732
2025-01-05,Plant_0,10442,-89.66210000000002
2025-01-05,Plant_1,6541,7217.965000000001
2025-01-05,Plant_1,5779,-837.9184999999999
2025-01-05,Plant_1,6541,-805.8061
2025-01-05,Plant_1,5881,-423.41509999999994
2025-01-05,Plant_1,12605,-1001.3945999999995
2025-01-05,Plant_1,8590,-805.8061
2025-01-05,Plant_1,10061,-4.48
2025-01-05,Plant_2,1588,-2.8160000000000003
2025-01-05,Plant_2,1577,-34.0654
2025-01-05,Plant_1,12605,827.2406
2025-01-05,Plant_2,844,-2.8160000000000003
2025-01-05,Plant_2,1588,-61.3888
2025-01-05,Plant_2,3788,-45.09799999999998
2025-01-05,Plant_2,2768,-1884.1649
2025-01-05,Plant_2,2768,-371.90829999999994
2025-01-05,Plant_2,2957,-895.7263999999999
2025-01-05,Plant_2,3788,140.2424
2025-01-05,Plant_2,2957,-1040.7002999999995
2025-01-05,Plant_2,5580,-1021.3472
2025-01-05,Plant_2,6735,-2.8160000000000003
2025-01-05,Plant_2,4352,321.35980000000006
2025-01-05,Plant_2,4132,-925.6597000000002
2025-01-05,Plant_2,5580,416.61640000000006
2025-01-05,Plant_2,7296,-2073.3025000000002
2025-01-05,Plant_2,5585,16592.475000000013
2025-01-05,Plant_2,4132,-1038.9206999999994
2025-01-05,Plant_2,5580,17157.257400000013
2025-01-05,Plant_2,7501,21227.059500000025
2025-01-05,Plant_2,7296,21699.518800000023
2025-01-05,Plant_2,5585,-944.1001
2025-01-05,Plant_2,6737,72.66
2025-01-05,Plant_2,8501,17207.774300000012
2025-01-05,Plant_2,8501,-2.8160000000000003
2025-01-05,Plant_2,7309,-2.8160000000000003
2025-01-05,Plant_2,7296,-557.8233999999998
2025-01-05,Plant_2,8627,-1503.0358
2025-01-05,Plant_2,9799,16550.519500000013
2025-01-05,Plant_2,9126,145.11120000000003
2025-01-05,Plant_2,9123,-344.8144999999999
2025-01-05,Plant_2,9801,213.61910000000003
2025-01-05,Plant_2,9801,1376.465099999999
2025-01-05,Plant_2,12757,-138.30020000000002
2025-01-05,Plant_2,9799,-339.2173999999999
2025-01-05,Plant_2,9976,17190.244900000016
2025-01-05,Plant_2,10014,-2.8160000000000003
2025-01-05,Plant_3,729,7437.612000000001
2025-01-05,Plant_2,9979,-774.6832
2025-01-05,Plant_2,10716,16778.94440000001
2025-01-05,Plant_2,10555,-593.6362
2025-01-05,Plant_3,4977,316.0123000000001
2025-01-05,Plant_2,10518,-2.8160000000000003
2025-01-05,Plant_3,3118,2.759
2025-01-05,Plant_3,729,-202.2462
2025-01-05,Plant_3,4977,-446.4684
2025-01-05,Plant_2,10716,-903.1436
